exchange,symbol,timestamp,local_timestamp,id,side,price,amount
binance-futures,BTCUSDT,1580515202342000,1580515202497052,35530566,buy,9364.51,1.197
binance-futures,BTCUSDT,1580515202342000,1580515202497346,35530567,buy,9365.67,0.02
binance-futures,BTCUSDT,1580515202342000,1580515202497352,35530568,buy,9365.86,0.01
binance-futures,BTCUSDT,1580515202342000,1580515202497357,35530569,buy,9366.36,0.002
binance-futures,BTCUSDT,1580515202342000,1580515202497363,35530570,buy,9366.36,0.003
binance-futures,BTCUSDT,1580515202342000,1580515202497369,35530571,buy,9366.37,3.768
binance-futures,BTCUSDT,1580515202843000,1580515202979365,35530572,sell,9364.54,1
binance-futures,BTCUSDT,1580515202864000,1580515203001085,35530573,buy,9366.37,0.212
binance-futures,BTCUSDT,1580515203569000,1580515204131462,35530574,buy,9366.31,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132156,35530575,buy,9366.32,0.01
binance-futures,BTCUSDT,1580515203569000,1580515204132175,35530576,buy,9366.33,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132178,35530577,buy,9366.36,0.002
binance-futures,BTCUSDT,1580515203569000,1580515204132185,35530578,buy,9366.36,0.001
binance-futures,BTCUSDT,1580515203569000,1580515204132187,35530579,buy,9366.37,0.799
binance-futures,BTCUSDT,1580515203569000,1580515204132194,35530580,buy,9366.41,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132203,35530581,buy,9366.43,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132210,35530582,buy,9366.71,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132213,35530583,buy,9366.73,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132221,35530584,buy,9367.05,0.295
binance-futures,BTCUSDT,1580515203569000,1580515204132223,35530585,buy,9367.56,0.012
binance-futures,BTCUSDT,1580515203569000,1580515204132233,35530586,buy,9367.73,0.111
binance-futures,BTCUSDT,1580515203593000,1580515204162009,35530587,sell,9365.02,0.001
binance-futures,BTCUSDT,1580515203599000,1580515204162071,35530588,sell,9365.02,0.004
binance-futures,BTCUSDT,1580515205321000,1580515207486945,35530589,buy,9366.63,0.295
binance-futures,BTCUSDT,1580515205321000,1580515207486953,35530590,buy,9366.63,0.022
binance-futures,BTCUSDT,1580515205350000,1580515207487053,35530591,buy,9366.63,1
binance-futures,BTCUSDT,1580515205874000,1580515207870782,35530592,buy,9366.63,0.031